id,uid,app_name,time_unix,duration_sec,start_datetime,hour_of_day,day_of_week,is_weekend,end_time_unix,gap_to_next_app_sec,is_new_session
572251,B04,com.apple.mobilesafari,1287374341,9,2010-10-18 03:59:01,3,0,0,1287374350,0,0
572252,B04,SpringBoard,1287374350,1,2010-10-18 03:59:10,3,0,0,1287374351,0,0
572253,B04,com.apple.mobilemail,1287374351,13,2010-10-18 03:59:11,3,0,0,1287374364,1171,0
572254,B04,SpringBoard,1287375535,7,2010-10-18 04:18:55,4,0,0,1287375542,0,1
572255,B04,com.apple.mobiletimer,1287375542,3,2010-10-18 04:19:02,4,0,0,1287375545,0,0
572256,B04,SpringBoard,1287375545,14071,2010-10-18 04:19:05,4,0,0,1287389616,19050,0
572257,B04,SpringBoard,1287408666,7,2010-10-18 13:31:06,13,0,0,1287408673,0,1
572258,B04,com.groupon.grouponapp,1287408673,10,2010-10-18 13:31:13,13,0,0,1287408683,0,0
572259,B04,SpringBoard,1287408683,3,2010-10-18 13:31:23,13,0,0,1287408686,0,0
572260,B04,com.livingsocial.deals,1287408686,12,2010-10-18 13:31:26,13,0,0,1287408698,0,0
572261,B04,SpringBoard,1287408698,4,2010-10-18 13:31:38,13,0,0,1287408702,0,0
572262,B04,com.apple.mobilemail,1287408702,23,2010-10-18 13:31:42,13,0,0,1287408725,0,0
572263,B04,SpringBoard,1287408725,1,2010-10-18 13:32:05,13,0,0,1287408726,0,0
572264,B04,com.apple.mobilesafari,1287408726,27,2010-10-18 13:32:06,13,0,0,1287408753,2166,0
572265,B04,com.apple.mobilesafari,1287410919,29,2010-10-18 14:08:39,14,0,0,1287410948,0,1
572266,B04,SpringBoard,1287410948,2,2010-10-18 14:09:08,14,0,0,1287410950,0,0
572267,B04,com.apple.mobilemail,1287410950,42,2010-10-18 14:09:10,14,0,0,1287410992,0,0
572268,B04,SpringBoard,1287410992,3,2010-10-18 14:09:52,14,0,0,1287410995,0,0
572269,B04,com.facebook.Facebook,1287410995,111,2010-10-18 14:09:55,14,0,0,1287411106,0,0
572270,B04,SpringBoard,1287411106,15,2010-10-18 14:11:46,14,0,0,1287411121,1686,0
572271,B04,com.apple.mobilesafari,1287412807,19,2010-10-18 14:40:07,14,0,0,1287412826,0,1
572272,B04,SpringBoard,1287412826,15,2010-10-18 14:40:26,14,0,0,1287412841,580,0
572273,B04,SpringBoard,1287413421,2,2010-10-18 14:50:21,14,0,0,1287413423,0,1
572274,B04,com.apple.mobilemail,1287413423,20,2010-10-18 14:50:23,14,0,0,1287413443,238,0
572275,B04,SpringBoard,1287413681,2,2010-10-18 14:54:41,14,0,0,1287413683,0,1
572276,B04,com.apple.mobilesafari,1287413683,11,2010-10-18 14:54:43,14,0,0,1287413694,306,0
572277,B04,SpringBoard,1287414000,3,2010-10-18 15:00:00,15,0,0,1287414003,0,1
572278,B04,com.apple.mobilemail,1287414003,18,2010-10-18 15:00:03,15,0,0,1287414021,0,0
572279,B04,SpringBoard,1287414021,24,2010-10-18 15:00:21,15,0,0,1287414045,0,0
572280,B04,com.facebook.Facebook,1287414045,70,2010-10-18 15:00:45,15,0,0,1287414115,12,0
572281,B04,SpringBoard,1287414127,431,2010-10-18 15:02:07,15,0,0,1287414558,0,0
572282,B04,com.apple.MobileSMS,1287414558,29,2010-10-18 15:09:18,15,0,0,1287414587,0,0
572283,B04,SpringBoard,1287414587,16,2010-10-18 15:09:47,15,0,0,1287414603,515,0
572284,B04,com.apple.MobileSMS,1287415118,75,2010-10-18 15:18:38,15,0,0,1287415193,374,1
572285,B04,com.apple.MobileSMS,1287415567,17,2010-10-18 15:26:07,15,0,0,1287415584,112,1
572286,B04,com.apple.mobilesafari,1287415696,44,2010-10-18 15:28:16,15,0,0,1287415740,0,1
572287,B04,SpringBoard,1287415740,20,2010-10-18 15:29:00,15,0,0,1287415760,718,0
572288,B04,com.apple.calculator,1287416478,3,2010-10-18 15:41:18,15,0,0,1287416481,0,1
572289,B04,SpringBoard,1287416481,1,2010-10-18 15:41:21,15,0,0,1287416482,0,0
572290,B04,com.apple.mobilesafari,1287416482,17,2010-10-18 15:41:22,15,0,0,1287416499,0,0
572291,B04,SpringBoard,1287416499,3,2010-10-18 15:41:39,15,0,0,1287416502,601,0
572292,B04,com.apple.mobilemail,1287417103,6,2010-10-18 15:51:43,15,0,0,1287417109,0,1
572293,B04,SpringBoard,1287417109,5,2010-10-18 15:51:49,15,0,0,1287417114,1455,0
572294,B04,SpringBoard,1287418569,1,2010-10-18 16:16:09,16,0,0,1287418570,0,1
572295,B04,com.apple.MobileSMS,1287418570,3,2010-10-18 16:16:10,16,0,0,1287418573,1813,0
572296,B04,SpringBoard,1287420386,4,2010-10-18 16:46:26,16,0,0,1287420390,3970,1
572297,B04,com.apple.MobileSMS,1287424360,3,2010-10-18 17:52:40,17,0,0,1287424363,0,1
572298,B04,SpringBoard,1287424363,3,2010-10-18 17:52:43,17,0,0,1287424366,0,0
572299,B04,com.apple.weather,1287424366,5,2010-10-18 17:52:46,17,0,0,1287424371,3596,0
572300,B04,com.apple.MobileSMS,1287427967,23,2010-10-18 18:52:47,18,0,0,1287427990,144,1
572301,B04,SpringBoard,1287428134,15,2010-10-18 18:55:34,18,0,0,1287428149,495,1
572302,B04,SpringBoard,1287428644,4,2010-10-18 19:04:04,19,0,0,1287428648,1335,1
572303,B04,com.apple.MobileSMS,1287429983,4,2010-10-18 19:26:23,19,0,0,1287429987,0,1
572304,B04,SpringBoard,1287429987,4,2010-10-18 19:26:27,19,0,0,1287429991,0,0
572305,B04,com.apple.mobilemail,1287429991,35,2010-10-18 19:26:31,19,0,0,1287430026,636,0
572306,B04,com.apple.MobileSMS,1287430662,13,2010-10-18 19:37:42,19,0,0,1287430675,0,1
572307,B04,SpringBoard,1287430675,15,2010-10-18 19:37:55,19,0,0,1287430690,925,0
572308,B04,com.apple.MobileSMS,1287431615,3,2010-10-18 19:53:35,19,0,0,1287431618,0,1
572309,B04,SpringBoard,1287431618,8,2010-10-18 19:53:38,19,0,0,1287431626,457,0
572310,B04,com.apple.MobileSMS,1287432083,6,2010-10-18 20:01:23,20,0,0,1287432089,0,1
572311,B04,SpringBoard,1287432089,7,2010-10-18 20:01:29,20,0,0,1287432096,0,0
572312,B04,com.groupon.grouponapp,1287432096,17,2010-10-18 20:01:36,20,0,0,1287432113,0,0
572313,B04,SpringBoard,1287432113,16,2010-10-18 20:01:53,20,0,0,1287432129,1701,0
572314,B04,com.apple.MobileSMS,1287433830,21,2010-10-18 20:30:30,20,0,0,1287433851,0,1
572315,B04,SpringBoard,1287433851,3,2010-10-18 20:30:51,20,0,0,1287433854,0,0
572316,B04,com.apple.mobilesafari,1287433854,19,2010-10-18 20:30:54,20,0,0,1287433873,0,0
572317,B04,SpringBoard,1287433873,1,2010-10-18 20:31:13,20,0,0,1287433874,290,0
572318,B04,SpringBoard,1287434164,2,2010-10-18 20:36:04,20,0,0,1287434166,12,1
572319,B04,com.apple.MobileSMS,1287434178,15,2010-10-18 20:36:18,20,0,0,1287434193,306,0
572320,B04,com.apple.MobileSMS,1287434499,61,2010-10-18 20:41:39,20,0,0,1287434560,0,1
572321,B04,SpringBoard,1287434560,15,2010-10-18 20:42:40,20,0,0,1287434575,38,0
572322,B04,com.facebook.Facebook,1287434613,91,2010-10-18 20:43:33,20,0,0,1287434704,1256,0
572323,B04,SpringBoard,1287435960,4,2010-10-18 21:06:00,21,0,0,1287435964,3403,1
572324,B04,com.apple.MobileSMS,1287439367,22,2010-10-18 22:02:47,22,0,0,1287439389,0,1
572325,B04,SpringBoard,1287439389,4,2010-10-18 22:03:09,22,0,0,1287439393,0,0
572326,B04,com.apple.mobilemail,1287439393,13,2010-10-18 22:03:13,22,0,0,1287439406,0,0
572327,B04,com.apple.mobilesafari,1287439406,8,2010-10-18 22:03:26,22,0,0,1287439414,0,0
572328,B04,SpringBoard,1287439414,6,2010-10-18 22:03:34,22,0,0,1287439420,0,0
572329,B04,com.apple.AppStore,1287439420,29,2010-10-18 22:03:40,22,0,0,1287439449,0,0
572330,B04,SpringBoard,1287439449,31,2010-10-18 22:04:09,22,0,0,1287439480,0,0
572331,B04,com.apple.AppStore,1287439480,22,2010-10-18 22:04:40,22,0,0,1287439502,0,0
572332,B04,SpringBoard,1287439502,7,2010-10-18 22:05:02,22,0,0,1287439509,422,0
572333,B04,com.chillingo.cuttheropelite,1287439931,2,2010-10-18 22:12:11,22,0,0,1287439933,0,1
572334,B04,SpringBoard,1287439933,5,2010-10-18 22:12:13,22,0,0,1287439938,71,0
572335,B04,com.apple.MobileSMS,1287440009,5,2010-10-18 22:13:29,22,0,0,1287440014,0,1
572336,B04,SpringBoard,1287440014,338,2010-10-18 22:13:34,22,0,0,1287440352,1371,0
572337,B04,com.apple.MobileSMS,1287441723,19,2010-10-18 22:42:03,22,0,0,1287441742,65,1
572338,B04,SpringBoard,1287441807,5,2010-10-18 22:43:27,22,0,0,1287441812,0,1
572339,B04,com.apple.MobileSMS,1287441812,18,2010-10-18 22:43:32,22,0,0,1287441830,131,0
572340,B04,SpringBoard,1287441961,3,2010-10-18 22:46:01,22,0,0,1287441964,0,1
572341,B04,com.apple.mobileslideshow-Camera,1287441964,8,2010-10-18 22:46:04,22,0,0,1287441972,50,0
572342,B04,SpringBoard,1287442022,4,2010-10-18 22:47:02,22,0,0,1287442026,0,0
572343,B04,com.apple.MobileSMS,1287442026,17,2010-10-18 22:47:06,22,0,0,1287442043,642,0
572344,B04,SpringBoard,1287442685,12,2010-10-18 22:58:05,22,0,0,1287442697,0,1
572345,B04,com.apple.mobilesafari,1287442697,17,2010-10-18 22:58:17,22,0,0,1287442714,398,0
572346,B04,com.apple.MobileSMS,1287443112,15,2010-10-18 23:05:12,23,0,0,1287443127,111,1
572347,B04,com.apple.MobileSMS,1287443238,5,2010-10-18 23:07:18,23,0,0,1287443243,0,1
572348,B04,com.apple.mobilephone,1287443243,128,2010-10-18 23:07:23,23,0,0,1287443371,5344,0
572349,B04,com.apple.MobileSMS,1287448715,2,2010-10-19 00:38:35,0,1,0,1287448717,3295,1
572350,B04,SpringBoard,1287452012,4,2010-10-19 01:33:32,1,1,0,1287452016,948,1
572351,B04,com.apple.MobileSMS,1287452964,63,2010-10-19 01:49:24,1,1,0,1287453027,0,1
572352,B04,SpringBoard,1287453027,6,2010-10-19 01:50:27,1,1,0,1287453033,6577,0
572353,B04,com.apple.MobileSMS,1287459610,3,2010-10-19 03:40:10,3,1,0,1287459613,0,1
572354,B04,SpringBoard,1287459613,2,2010-10-19 03:40:13,3,1,0,1287459615,0,0
572355,B04,com.apple.mobilemail,1287459615,43,2010-10-19 03:40:15,3,1,0,1287459658,0,0
572356,B04,SpringBoard,1287459658,464,2010-10-19 03:40:58,3,1,0,1287460122,0,0
572357,B04,com.apple.mobileslideshow-Photos,1287460122,103,2010-10-19 03:48:42,3,1,0,1287460225,0,0
572358,B04,SpringBoard,1287460225,3004,2010-10-19 03:50:25,3,1,0,1287463229,0,0
572359,B04,com.apple.MobileSMS,1287463229,91,2010-10-19 04:40:29,4,1,0,1287463320,0,0
572360,B04,SpringBoard,1287463320,65,2010-10-19 04:42:00,4,1,0,1287463385,0,0
572361,B04,com.apple.MobileSMS,1287463385,97,2010-10-19 04:43:05,4,1,0,1287463482,4866,0
572362,B04,SpringBoard,1287468348,3,2010-10-19 06:05:48,6,1,0,1287468351,0,1
572363,B04,com.apple.mobilemail,1287468351,30,2010-10-19 06:05:51,6,1,0,1287468381,0,0
572364,B04,SpringBoard,1287468381,7,2010-10-19 06:06:21,6,1,0,1287468388,0,0
572365,B04,com.groupon.grouponapp,1287468388,123,2010-10-19 06:06:28,6,1,0,1287468511,1883,0
572366,B04,com.apple.mobilesafari,1287470394,5,2010-10-19 06:39:54,6,1,0,1287470399,0,1
572367,B04,SpringBoard,1287470399,8,2010-10-19 06:39:59,6,1,0,1287470407,0,0
572368,B04,com.apple.mobilemail,1287470407,9,2010-10-19 06:40:07,6,1,0,1287470416,26568,0
572369,B04,SpringBoard,1287496984,4,2010-10-19 14:03:04,14,1,0,1287496988,0,1
572370,B04,com.apple.mobilemail,1287496988,29,2010-10-19 14:03:08,14,1,0,1287497017,4477,0
572371,B04,SpringBoard,1287501494,6,2010-10-19 15:18:14,15,1,0,1287501500,0,1
572372,B04,com.groupon.grouponapp,1287501500,13,2010-10-19 15:18:20,15,1,0,1287501513,1911,0
572373,B04,com.apple.MobileSMS,1287503424,66,2010-10-19 15:50:24,15,1,0,1287503490,89,1
572374,B04,com.apple.MobileSMS,1287503579,15,2010-10-19 15:52:59,15,1,0,1287503594,1085,1
572375,B04,com.apple.MobileSMS,1287504679,2,2010-10-19 16:11:19,16,1,0,1287504681,0,1
572376,B04,SpringBoard,1287504681,1,2010-10-19 16:11:21,16,1,0,1287504682,981,0
572377,B04,com.apple.mobilesafari,1287505663,58,2010-10-19 16:27:43,16,1,0,1287505721,0,1
572378,B04,SpringBoard,1287505721,15,2010-10-19 16:28:41,16,1,0,1287505736,427,0
572379,B04,com.apple.MobileSMS,1287506163,14,2010-10-19 16:36:03,16,1,0,1287506177,0,1
572380,B04,SpringBoard,1287506177,16,2010-10-19 16:36:17,16,1,0,1287506193,1957,0
572381,B04,com.apple.MobileSMS,1287508150,9,2010-10-19 17:09:10,17,1,0,1287508159,0,1
572382,B04,SpringBoard,1287508159,15,2010-10-19 17:09:19,17,1,0,1287508174,1700,0
572383,B04,SpringBoard,1287509874,5,2010-10-19 17:37:54,17,1,0,1287509879,43,1
572384,B04,com.apple.mobilemail,1287509922,15,2010-10-19 17:38:42,17,1,0,1287509937,1332,0
572385,B04,com.apple.mobilemail,1287511269,8,2010-10-19 18:01:09,18,1,0,1287511277,245,1
572386,B04,com.apple.MobileSMS,1287511522,4,2010-10-19 18:05:22,18,1,0,1287511526,0,1
572387,B04,SpringBoard,1287511526,3477,2010-10-19 18:05:26,18,1,0,1287515003,0,0
572388,B04,com.apple.mobilesafari,1287515003,63,2010-10-19 19:03:23,19,1,0,1287515066,375,0
572389,B04,com.apple.mobilemail,1287515441,29,2010-10-19 19:10:41,19,1,0,1287515470,0,1
572390,B04,SpringBoard,1287515470,15,2010-10-19 19:11:10,19,1,0,1287515485,853,0
572391,B04,SpringBoard,1287516338,2,2010-10-19 19:25:38,19,1,0,1287516340,0,1
572392,B04,com.apple.mobilesafari,1287516340,12,2010-10-19 19:25:40,19,1,0,1287516352,0,0
572393,B04,SpringBoard,1287516352,9,2010-10-19 19:25:52,19,1,0,1287516361,0,0
572394,B04,com.apple.mobilesafari,1287516361,69,2010-10-19 19:26:01,19,1,0,1287516430,110,0
572395,B04,com.apple.mobilesafari,1287516540,2,2010-10-19 19:29:00,19,1,0,1287516542,149,1
572396,B04,com.apple.MobileSMS,1287516691,32,2010-10-19 19:31:31,19,1,0,1287516723,0,1
572397,B04,SpringBoard,1287516723,1,2010-10-19 19:32:03,19,1,0,1287516724,0,0
572398,B04,com.apple.mobilesafari,1287516724,44,2010-10-19 19:32:04,19,1,0,1287516768,3,0
572399,B04,SpringBoard,1287516771,14,2010-10-19 19:32:51,19,1,0,1287516785,0,0
572400,B04,com.facebook.Facebook,1287516785,119,2010-10-19 19:33:05,19,1,0,1287516904,0,0
572401,B04,SpringBoard,1287516904,2,2010-10-19 19:35:04,19,1,0,1287516906,0,0
572402,B04,com.apple.mobilemail,1287516906,11,2010-10-19 19:35:06,19,1,0,1287516917,16,0
572403,B04,com.apple.MobileSMS,1287516933,15,2010-10-19 19:35:33,19,1,0,1287516948,0,0
572404,B04,SpringBoard,1287516948,15,2010-10-19 19:35:48,19,1,0,1287516963,795,0
572405,B04,com.apple.MobileSMS,1287517758,26,2010-10-19 19:49:18,19,1,0,1287517784,0,1
572406,B04,SpringBoard,1287517784,6,2010-10-19 19:49:44,19,1,0,1287517790,0,0
572407,B04,com.apple.mobilemail,1287517790,16,2010-10-19 19:49:50,19,1,0,1287517806,0,0
572408,B04,SpringBoard,1287517806,15,2010-10-19 19:50:06,19,1,0,1287517821,52,0
572409,B04,com.apple.MobileSMS,1287517873,22,2010-10-19 19:51:13,19,1,0,1287517895,0,0
572410,B04,SpringBoard,1287517895,5,2010-10-19 19:51:35,19,1,0,1287517900,0,0
572411,B04,com.groupon.grouponapp,1287517900,17,2010-10-19 19:51:40,19,1,0,1287517917,0,0
572412,B04,SpringBoard,1287517917,4,2010-10-19 19:51:57,19,1,0,1287517921,0,0
572413,B04,com.apple.MobileSMS,1287517921,36,2010-10-19 19:52:01,19,1,0,1287517957,0,0
572414,B04,SpringBoard,1287517957,10,2010-10-19 19:52:37,19,1,0,1287517967,0,0
572415,B04,com.apple.mobilemail,1287517967,33,2010-10-19 19:52:47,19,1,0,1287518000,17,0
572416,B04,SpringBoard,1287518017,3,2010-10-19 19:53:37,19,1,0,1287518020,0,0
572417,B04,com.apple.mobilesafari,1287518020,49,2010-10-19 19:53:40,19,1,0,1287518069,0,0
572418,B04,SpringBoard,1287518069,16,2010-10-19 19:54:29,19,1,0,1287518085,294,0
572419,B04,SpringBoard,1287518379,4,2010-10-19 19:59:39,19,1,0,1287518383,0,1
572420,B04,com.apple.MobileSMS,1287518383,23,2010-10-19 19:59:43,19,1,0,1287518406,0,0
572421,B04,SpringBoard,1287518406,15,2010-10-19 20:00:06,20,1,0,1287518421,67,0
572422,B04,com.apple.MobileSMS,1287518488,22,2010-10-19 20:01:28,20,1,0,1287518510,0,1
572423,B04,SpringBoard,1287518510,16,2010-10-19 20:01:50,20,1,0,1287518526,7,0
572424,B04,com.apple.MobileSMS,1287518533,24,2010-10-19 20:02:13,20,1,0,1287518557,83,0
572425,B04,com.apple.MobileSMS,1287518640,36,2010-10-19 20:04:00,20,1,0,1287518676,0,1
572426,B04,SpringBoard,1287518676,15,2010-10-19 20:04:36,20,1,0,1287518691,208,0
572427,B04,SpringBoard,1287518899,4,2010-10-19 20:08:19,20,1,0,1287518903,2714,1
572428,B04,SpringBoard,1287521617,3,2010-10-19 20:53:37,20,1,0,1287521620,0,1
572429,B04,com.apple.mobileslideshow-Camera,1287521620,7,2010-10-19 20:53:40,20,1,0,1287521627,0,0
572430,B04,SpringBoard,1287521627,95,2010-10-19 20:53:47,20,1,0,1287521722,687,0
572431,B04,SpringBoard,1287522409,3,2010-10-19 21:06:49,21,1,0,1287522412,0,1
572432,B04,com.apple.mobilesafari,1287522412,40,2010-10-19 21:06:52,21,1,0,1287522452,0,0
572433,B04,SpringBoard,1287522452,15,2010-10-19 21:07:32,21,1,0,1287522467,1111,0
572434,B04,SpringBoard,1287523578,2,2010-10-19 21:26:18,21,1,0,1287523580,0,1
572435,B04,com.apple.mobilemail,1287523580,20,2010-10-19 21:26:20,21,1,0,1287523600,0,0
572436,B04,SpringBoard,1287523600,1,2010-10-19 21:26:40,21,1,0,1287523601,356,0
